N,E
58637,58133
57018,46503,545561
46202,47747,762871
30314,6912,545354
57883,35628,435800
24334,32758,545278
611,43618,653861
48356,3575,435568
52741,32224,656426
50157,22491,436459
26434,45123,435808
35157,42283,325405
52332,27959,325573
3323,40730,870719
44677,56520,435034
49632,52740,652667
36007,31759,218565
32336,17903,655019
15022,35702,327524
29685,3190,655606
46666,51633,547045
5684,15554,762865
2396,44474,761395
44916,35185,436781
42100,4527,762522
6527,1856,874890
54660,40661,547590
48594,24391,438827
21172,15169,545538
52091,21614,875554
39936,34778,763369
9061,45333,543926
39914,21362,438145
13123,6079,544758
50115,47915,764672
50151,47407,983322
41742,30913,436091
44968,20206,547846
50218,1133,545757
47285,33083,654543
13261,16005,544859
33430,38421,543744
615,47893,432504
27125,33470,654761
32264,47546,327324
32077,28040,217713
48072,26032,760475
48867,54133,758319
32571,7943,435509
31522,37578,871338
24019,22033,872029
15065,52376,649980
35603,38106,544384
28526,2880,436381
58104,13724,542810
37218,5521,550299
22153,16381,658105
23239,8309,434776
8183,8207,761468
24040,6020,664934
49344,40041,886140
46389,2143,775727
4203,1911,771155
31247,1813,442755
3691,54880,556500
757,37294,110655
37777,48312,441751
24016,14321,440770
2775,7370,660285
54166,46475,888555
47675,24058,440775
33143,30650,440741
43730,6379,330043
50530,32945,444723
11131,40980,553497
39434,38331,334160
35642,29979,541322
45392,9046,772568
25962,17433,552579
46974,50324,884591
24573,46100,430014
50864,10615,436769
33017,20536,1091080
18100,33413,760908
4553,51529,327047
26300,14979,545403
57192,42171,546721
23808,20613,443543
16332,55392,553451
26638,23337,334029
26138,14978,554511
21183,39910,549436
39714,45701,550442
19729,10347,439897
28218,9737,436703
19788,26693,551982
19662,28995,329232
51479,15179,761914
27719,19249,218326
52791,29422,328092
39718,10212,544497
16821,24902,329157
24044,52934,874638
41839,44223,770841
2597,15756,542461
9821,7392,445936
43403,6220,772828
19140,51351,663135
20565,18241,555420
42895,15719,886595
30163,50029,778864
13002,30317,885537
20488,12371,554483
34433,24363,554561
27320,17523,333944
55432,24591,775908
38801,51355,668157
2685,21429,776958
11248,5261,549425
57983,35671,552514
2305,52597,554564
50120,4140,778767
26460,41985,666131
58434,38291,666167
255,22364,556501
7002,32602,555457
21016,45420,556206
57348,47760,443777
1514,25264,221391
31341,38980,441222
26665,50798,668108
37177,14629,556526
52473,14929,666066
27121,17189,889583
43710,80,776863
9577,36881,888593
5418,9900,444723
47180,38245,665165
46351,14262,663951
14380,49624,889584
2625,33507,780035
17061,14006,445771
55017,57988,556455
52099,2422,334090
36450,46181,557447
56343,646,555046
6882,50195,665135
4413,33237,332135
48528,6633,446692
33392,10750,334028
17120,38041,111635
42770,32713,554466
7653,48013,999324
13550,31096,332928
47916,20683,445820
54171,57135,665071
32592,51354,554732
22798,35933,665224
55363,4948,999564
8927,41252,445775
26457,22591,556513
17591,4863,555428
32785,39331,556463
54876,48825,222810
10999,28151,553417
40905,37477,659677
15580,56193,218829
51322,49520,332942
47935,5768,875112
33957,55379,546281
37850,12802,330273
12989,15281,550495
13433,30655,219113
45181,42720,656914
7205,51273,436809
52345,9969,661714
19741,21470,759838
5435,13781,979230
18423,45105,435878
32149,18441,763540
29700,50199,762682
27209,4613,653068
40208,56219,655533
39840,1029,651422
46437,46371,653584
53085,11579,873953
51967,17967,326895
53936,16741,654242
46701,16810,763141
7880,21119,436734
52668,33224,766061
14438,38644,870432
55473,32048,546295
49202,47130,654075
55264,24125,543800
53888,4294,108502
18120,44749,871398
3461,41299,435263
11170,31271,542371
41393,30346,544643
35751,54986,438284
19996,49349,435999
5139,42966,652987
10764,50120,760366
24901,6035,651562
56824,575,546692
40101,50882,434797
38574,31083,762127
56680,49346,651595
42519,32919,979451
26029,12139,544627
57685,12842,761228
480,48388,870393
23233,9334,653227
8112,38470,547289
47934,8071,978909
40160,39350,540945
50923,54311,544153
4075,52351,328684
14808,27043,328838
52611,32534,544573
16316,54481,546143
39966,26672,653675
9237,57707,653700
40601,27925,545508
13219,22701,542651
319,45745,435557
52361,39364,326808
34403,42445,656299
19679,47330,216688
37391,50030,329856
40781,57938,545978
18344,6735,435080
30620,49413,546305
15022,35702,328794
11947,21710,650095
27600,17606,434915
55549,45453,1089539
39142,10815,545694
49628,16803,437475
13654,39854,656347
54061,2724,545902
6100,40583,543709
51743,19664,438440
401,28738,328337
17339,430,437353
49380,8178,653201
22359,32188,654586
27271,54292,652184
15899,4501,650891
3668,31508,325455
52145,6612,326158
14611,55356,436855
10083,34026,436918
5229,8997,435547
46056,26876,1089934
13544,40476,868743
48665,15881,545910
33763,20949,655829
37741,9071,651815
3544,16901,762514
58619,11069,761595
13284,48068,543698
43616,10010,762194
42760,56196,438040
45119,45342,655808
36586,57809,436999
1218,41658,436499
36341,39684,871183
19620,6006,433558
34854,47888,762027
12301,24163,325421
43629,35190,435897
42595,14061,760522
32641,43163,326848
49651,55084,653772
17162,48920,326079
27958,7278,653680
38865,34900,653800
12970,52516,545678
50782,54095,433983
21620,7463,763869
40285,21031,654818
19820,30117,875064
18534,58015,873392
50126,44760,978756
21395,28313,764521
32373,9166,994445
12079,47667,439319
26023,57996,542151
16817,33922,547014
45320,15577,437090
46908,41127,216756
14022,19408,761583
6126,26879,655582
34528,24564,549120
54355,46470,652405
19657,38030,548614
29220,1101,543462
47340,3271,649551
27944,48433,651801
4218,57088,325070
1454,28335,110061
40302,13753,983845
35125,50718,762389
17891,9455,874483
1715,1165,759339
12464,22074,979258
4124,24319,327344
56322,10844,871255
29779,38375,650836
35831,476,651111
3435,14662,544087
6719,53840,435190
5729,31705,434008
28728,49025,546588
44069,22378,760904
7658,39928,432304
36330,12196,652550
9924,28791,760745
38881,42442,770045
23100,57454,540034
29716,56784,651371
31302,14734,979450
4885,54962,215940
53605,39415,870467
26742,2410,544231
25859,53413,653316
878,14801,764270
3007,37136,655958
19945,30606,434781
8014,32229,764572
42367,20570,544100
43493,29068,541061
36587,48607,873359
33503,32790,764608
26737,44649,979421
53575,58221,875543
19851,7759,435838
5204,53603,323754
56897,50719,544445
21186,35895,541789
54261,16824,328259
26302,20022,872415
22467,41715,868245
24739,44975,655115
40829,34941,873944
10221,6559,546743
15366,48005,984202
33854,25335,542418
33717,2977,549015
37139,53960,655677
51612,58589,437955
58020,31645,655525
7522,26332,436739
45825,46209,654349
20355,38048,763653
28239,13641,654247
19650,20012,653406
4639,6649,651885
54493,22648,546085
34780,47186,433667
36106,21916,435947
32537,41271,546433
9654,43137,653265
12690,23368,435970
54167,19003,432726
23532,44687,547887
56307,48826,871329
18829,57166,437042
31708,5848,870264
22356,14249,544760
43223,23060,437255
51739,31924,650779
47398,18915,543770
13773,46882,545809
12791,49698,655193
19137,45472,762180
47752,55890,656158
1109,32456,657083
2754,4336,109155
33234,3438,654032
41861,41452,978867
50504,57816,434450
24444,30006,765630
33153,43311,545100
4163,28275,761835
32585,37389,761953
11170,31271,544112
24653,18093,544694
24383,24962,1090826
21408,13349,651911
21990,44830,653410
28114,57314,761817
1335,53553,218605
7621,53010,653904
1167,6008,434822
56021,5649,545428
50296,47845,766373
22207,16000,982569
36601,33311,765143
38953,31669,327101
43633,15378,872062
54900,45036,543037
18993,14200,543203
2277,30547,760547
4440,47300,761546
19805,22609,328122
36504,34423,655857
51901,55243,436096
16341,27215,543674
43265,1963,437519
11785,51048,542196
13522,55397,763383
29822,856,545424
57816,17432,544041
12512,52145,327926
7696,1752,543130
25551,49012,434258
33390,5290,652726
21401,21889,873057
24969,9581,872837
